mission_name,timestamp,BatteryStatus0_current_a,BatteryStatus0_current_average_a,BatteryStatus0_current_filtered_a,BatteryStatus0_discharged_mah,BatteryStatus0_remaining,BatteryStatus0_scale,BatteryStatus0_time_remaining_s,BatteryStatus0_voltage_filtered_v,BatteryStatus0_voltage_v,BatteryStatus1_current_average_a,BatteryStatus1_scale,SensorBaro0_pressure,SensorBaro0_temperature,SensorBaro1_pressure,SensorBaro1_temperature
10min_square_0,1970-01-01 00:13:40,25.099487,24.10921,25.137218,902.4366,0.9562914,1.0172349,3141.2087,23.429087,23.432499,9.939009,1.28125,99556.14,56.579998,99550.086,40.87
10min_square_0,1970-01-01 00:13:42,24.083496,24.126476,24.45523,914.7749,0.9557162,1.0174706,3137.3413,23.443943,23.457499,9.859894,1.28125,99556.71,56.6,99552.43,40.82
10min_square_0,1970-01-01 00:13:44,26.080444,24.149694,25.516954,928.63153,0.9550712,1.0166516,3131.6987,23.43157,23.4075,9.781408,1.28125,99561.44,56.379997,99558.125,40.77
10min_square_0,1970-01-01 00:13:46,26.610962,24.266594,26.8715,944.47455,0.95433825,1.0167006,3114.117,23.389765,23.391249,9.7035475,1.28125,99561.8,56.379997,99557.87,40.75
10min_square_0,1970-01-01 00:13:48,25.394775,24.32279,25.110357,958.8009,0.9536726,1.0178114,3105.0808,23.416197,23.42125,9.626307,1.28125,99555.87,56.579998,99552.87,40.75
10min_square_0,1970-01-01 00:13:50,23.608032,24.298998,23.543716,970.64343,0.95311916,1.0180323,3106.7668,23.457952,23.46625,9.549681,1.28125,99557.18,56.57,99552.766,40.73
10min_square_0,1970-01-01 00:13:52,25.129517,24.275122,24.20905,985.2725,0.9524372,1.0172938,3107.2031,23.455532,23.43125,9.473665,1.28125,99554.15,56.36,99554.36,40.68
10min_square_0,1970-01-01 00:13:54,24.508911,24.360115,26.668322,1000.0273,0.9517547,1.0165806,3094.3225,23.39872,23.435,9.398254,1.28125,99566.625,56.379997,99562.055,40.69
10min_square_0,1970-01-01 00:13:56,25.86023,24.433998,26.280293,1013.36035,0.9511374,1.0173562,3082.6436,23.391914,23.4025,9.323443,1.28125,99564.82,56.57,99558.98,40.7
10min_square_0,1970-01-01 00:13:58,25.720093,24.48001,25.72681,1027.661,0.95047325,1.0175817,3074.7485,23.403158,23.40375,9.2492285,1.28125,99564.5,56.57,99559.11,40.73
10min_square_0,1970-01-01 00:14:00,25.254639,24.509817,25.260887,1040.3833,0.949882,1.0178835,3069.223,23.409967,23.408749,9.175605,1.28125,99566.89,56.36,99560.055,40.739998
10min_square_0,1970-01-01 00:14:02,26.4458,24.584005,26.522936,1056.5349,0.94913334,1.0173446,3057.2722,23.384907,23.38125,9.102567,1.28125,99564.625,56.379997,99561.984,40.76
10min_square_0,1970-01-01 00:14:04,25.259644,24.598429,26.248795,1059.4508,0.9489983,1.0176353,3055.343,23.386223,23.4075,9.039357,1.28125,99563.79,56.399998,99560.695,40.76
10min_square_0,1970-01-01 00:14:06,25.039429,24.711164,25.17363,1086.515,0.94774336,1.0185075,3037.4644,23.397778,23.408749,8.976147,1.28125,99562.28,56.559998,99560.12,40.78
10min_square_0,1970-01-01 00:14:08,25.60498,24.731712,25.242561,1100.6265,0.94708765,1.0182446,3032.7078,23.401947,23.394999,8.9046955,1.28125,99565.11,56.36,99559.55,40.79
10min_square_0,1970-01-01 00:14:10,25.539917,24.753738,25.502165,1114.7566,0.94643146,1.0180326,3027.9312,23.399193,23.39625,8.833813,1.28125,99566.32,56.379997,99561.11,40.78
10min_square_0,1970-01-01 00:14:12,25.0094,24.784473,25.329418,1129.0117,0.9457703,1.0183353,3022.2004,23.397188,23.40625,8.7634945,1.28125,99561.43,56.579998,99557.4,40.77
10min_square_0,1970-01-01 00:14:14,24.14856,24.817352,25.062263,1143.3093,0.9451074,1.0187004,3016.298,23.39655,23.422499,8.693737,1.28125,99554.28,56.57,99552.72,40.76
10min_square_0,1970-01-01 00:14:16,26.435791,24.823673,25.457909,1157.3236,0.9444566,1.0181435,3012.901,23.397884,23.37125,8.624535,1.28125,99554.03,56.37,99551.26,40.73
10min_square_0,1970-01-01 00:14:18,25.775146,24.87203,26.31185,1169.085,0.9439126,1.0179867,3005.483,23.375992,23.38,8.5558815,1.28125,99560.86,56.379997,99555.03,40.69
10min_square_0,1970-01-01 00:14:20,25.524902,24.928581,26.120533,1185.1696,0.9431677,1.0183666,2996.3726,23.372713,23.385,8.487776,1.28125,99564.64,56.579998,99560.695,40.69
10min_square_0,1970-01-01 00:14:22,25.630005,24.980743,25.854366,1200.5425,0.94245565,1.0186994,2987.8457,23.372808,23.38125,8.420213,1.28125,99558.516,56.559998,99553.33,40.68
10min_square_0,1970-01-01 00:14:24,24.799194,24.991413,25.096445,1214.6248,0.94180197,1.0189519,2984.6995,23.38956,23.3975,8.353187,1.28125,99557.266,56.35,99549.66,40.66
10min_square_0,1970-01-01 00:14:26,25.38977,24.999174,25.29676,1228.7123,0.9411488,1.0187036,2981.5647,23.389437,23.38625,8.286695,1.28125,99557.055,56.37,99554.53,40.62
10min_square_0,1970-01-01 00:14:28,26.105469,25.02185,25.766447,1243.0221,0.94048625,1.0185758,2976.601,23.378376,23.3675,8.220732,1.28125,99564.12,56.579998,99558.65,40.6
10min_square_0,1970-01-01 00:14:30,27.011353,25.06627,26.41391,1256.2596,0.93987423,1.0184271,2969.1895,23.362476,23.345,8.155294,1.28125,99566.32,56.559998,99559.234,40.64
10min_square_0,1970-01-01 00:14:32,26.175537,25.10088,25.875845,1269.3309,0.93926954,1.0189028,2963.3938,23.367342,23.36625,8.106559,1.28125,99561.734,56.35,99561.016,40.66
10min_square_0,1970-01-01 00:14:34,26.185547,25.141903,26.33658,1286.738,0.93846405,1.0186381,2956.0286,23.359795,23.3575,8.042029,1.28125,99564.25,56.37,99561.29,40.649998
10min_square_0,1970-01-01 00:14:36,25.700073,25.175285,25.83456,1299.8458,0.93785816,1.0191582,2950.3247,23.362532,23.36875,7.9780145,1.28125,99562.46,56.57,99559.28,40.67
10min_square_0,1970-01-01 00:14:38,26.04541,25.180666,25.369913,1313.9991,0.93720245,1.0193052,2947.553,23.372988,23.359999,7.9145093,1.28125,99560.79,56.55,99559.3,40.68
10min_square_0,1970-01-01 00:14:40,25.61499,25.206812,25.543179,1329.1316,0.93650246,1.019343,2942.4028,23.366896,23.365,7.8515096,1.28125,99562.41,56.35,99559.164,40.68
10min_square_0,1970-01-01 00:14:42,25.765137,25.20886,25.42557,1343.242,0.93584925,1.0193546,2940.0771,23.37015,23.3625,7.7890115,1.28125,99565.96,56.379997,99562.26,40.68
10min_square_0,1970-01-01 00:14:44,25.935303,25.241362,25.922205,1357.7919,0.93517697,1.0193074,2934.1501,23.356367,23.352499,7.742464,1.28125,99565.69,56.579998,99560.83,40.69
10min_square_0,1970-01-01 00:14:46,32.671875,25.282679,27.60086,1369.8477,0.93462086,1.0183294,2926.0671,23.329187,23.205,7.6762938,1.28125,99563.16,56.579998,99561.36,40.68
10min_square_0,1970-01-01 00:14:48,28.963257,25.3330615,26.6357935,1386.02745,0.933873655,1.0191431,2918.79255,23.338866,23.283125,7.6101236,1.28125,99561.1425,56.4799975,99557.313,40.65
10min_square_0,1970-01-01 00:14:50,25.254639,25.383444,25.670727,1402.2072,0.93312645,1.0199568,2911.518,23.348545,23.36125,7.5439534,1.28125,99559.125,56.379997,99553.266,40.62
10min_square_0,1970-01-01 00:14:52,24.98938,25.396994,25.478622,1416.5718,0.93246204,1.0200496,2907.9563,23.352116,23.363749,7.4839034,1.28125,99556.55,56.579998,99553.32,40.61
10min_square_0,1970-01-01 00:14:54,24.954346,25.380295,25.016949,1429.1034,0.9318817,1.0200958,2908.0632,23.364874,23.36875,7.424331,1.28125,99562.64,56.53,99562.414,40.59
10min_square_0,1970-01-01 00:14:56,25.029419,25.359535,24.568617,1442.9897,0.93123895,1.0203699,2908.4146,23.371845,23.36625,7.3652334,1.28125,99560.32,56.329998,99555.07,40.579998
10min_square_0,1970-01-01 00:14:58,24.133545,25.331758,24.6441,1457.4406,0.93056977,1.0202438,2909.7104,23.372559,23.383749,7.321219,1.28125,99554.4,56.399998,99552.66,40.55
10min_square_0,1970-01-01 00:15:00,24.724121,25.325014,25.125656,1471.5114,0.92991984,1.0200398,2908.3157,23.362938,23.37125,7.2629414,1.28125,99554.75,56.59,99556.04,40.489998
10min_square_0,1970-01-01 00:15:02,25.770142,25.321642,25.576965,1485.6349,0.9292675,1.0198373,2906.4219,23.354189,23.34375,7.2051277,1.28125,99562.28,56.52,99557.375,40.469997
10min_square_0,1970-01-01 00:15:04,26.460815,25.357456,26.34297,1500.3085,0.92859143,1.0196882,2900.0564,23.33473,23.3275,7.147774,1.28125,99566.08,56.309998,99562.734,40.469997
10min_square_0,1970-01-01 00:15:06,25.725098,25.384794,25.887934,1514.8514,0.9279213,1.0201113,2895.0166,23.338379,23.345,7.0908775,1.28125,99563.36,56.399998,99559.37,40.45
10min_square_0,1970-01-01 00:15:08,25.84021,25.405766,25.922071,1529.333,0.92725354,1.0201297,2890.524,23.33692,23.335,7.034434,1.28125,99560.64,56.579998,99556.76,40.44
10min_square_0,1970-01-01 00:15:10,25.730103,25.419277,25.72372,1542.2996,0.92665565,1.0203089,2887.1526,23.338636,23.338749,6.97844,1.28125,99559.78,56.5,99556.984,40.46
10min_square_0,1970-01-01 00:15:12,22.762207,25.479485,27.549318,1557.2681,0.92596704,1.0193089,2878.873,23.307518,23.38875,6.922891,1.28125,99565.445,56.309998,99559.18,40.46
10min_square_0,1970-01-01 00:15:14,25.775146,25.508917,26.414965,1572.0007,0.925289,1.0204341,2872.7742,23.314938,23.33,6.88152,1.28125,99564.734,56.43,99558.04,40.43
10min_square_0,1970-01-01 00:15:16,27.086426,25.530716,26.193254,1587.3071,0.92458355,1.0204672,2867.844,23.320807,23.3025,6.8131166,1.28125,99562.26,56.59,99558.086,40.399998
10min_square_0,1970-01-01 00:15:18,25.149536,25.537415,25.477747,1601.6156,0.9239238,1.0209177,2865.4814,23.331635,23.34125,6.758884,1.28125,99561.12,56.469997,99559.03,40.379997
10min_square_0,1970-01-01 00:15:20,25.690063,25.554415,26.052183,1616.1387,0.923255,1.0206254,2861.3853,23.321304,23.32625,6.705083,1.28125,99561.914,56.3,99560.6,40.36
10min_square_0,1970-01-01 00:15:22,26.510864,25.60778,26.521626,1631.1984,0.9225629,1.020709,2853.111,23.305244,23.30625,6.6517096,1.28125,99561.47,56.44,99556.016,40.32
10min_square_0,1970-01-01 00:15:24,25.985352,25.602215,25.530153,1645.4109,0.9219073,1.0211716,2851.8188,23.324072,23.31625,6.5987616,1.28125,99556.836,56.59,99554.41,40.28
10min_square_0,1970-01-01 00:15:26,25.885254,25.598812,25.536482,1659.6626,0.9212501,1.0211345,2850.1858,23.324757,23.31625,6.546235,1.28125,99556.305,56.469997,99553.19,40.23
10min_square_0,1970-01-01 00:15:28,25.775146,25.590576,25.51989,1673.8381,0.92059684,1.0210981,2849.1042,23.326115,23.31875,6.533169,1.28125,99562.445,56.3,99563.14,40.21
10min_square_0,1970-01-01 00:15:30,25.394775,25.617327,25.90481,1687.0726,0.919989,1.0211655,2844.34,23.312975,23.32375,6.455318,1.28125,99555.54,56.449997,99554.016,40.17
10min_square_0,1970-01-01 00:15:32,23.968384,25.589191,24.55498,1700.9442,0.9193492,1.0218375,2845.7976,23.337627,23.359999,6.4039335,1.28125,99557.016,56.579998,99553.64,40.11
10min_square_0,1970-01-01 00:15:34,24.769165,25.546124,24.31183,1714.6476,0.9187174,1.021771,2848.4492,23.346489,23.338749,6.3529577,1.28125,99550.98,56.449997,99550.266,40.07
10min_square_0,1970-01-01 00:15:36,26.07544,25.523808,25.519583,1729.3406,0.91804135,1.0209231,2848.546,23.330252,23.30875,6.302387,1.28125,99558.62,56.28,99554.336,40.03
10min_square_0,1970-01-01 00:15:38,26.06543,25.564762,26.378023,1744.1794,0.9173614,1.0210464,2841.8877,23.301588,23.305,6.25222,1.28125,99566.72,56.44,99563.16,40.02
10min_square_0,1970-01-01 00:15:40,25.640015,25.586525,25.746696,1758.7638,0.9166917,1.0216838,2837.4968,23.305498,23.31375,6.2024517,1.28125,99563.6,56.57,99561,40
10min_square_0,1970-01-01 00:15:42,24.864258,25.578613,25.333439,1772.9178,0.91604024,1.0218501,2836.5269,23.313978,23.32375,6.1530795,1.28125,99564.46,56.44,99560.46,40
